method,fold,accuracy,f1,auc,gsup,lsup,rsup,div,C_l1,C_l0,C_li,time
RuleFit,3,0.8547297297297297,0.90877531340405,0.9053746346839707,34,19.60872235872236,0.5767271281977164,0.3008658471766402,0.005,-1.0,-1.0,1.41752028465271
RuleFit,3,0.8492014742014742,0.9054132151801194,0.8979248707978336,23,13.042383292383292,0.5670601431470996,0.2950808868668934,0.01,-1.0,-1.0,1.1351990699768066
RuleFit,3,0.8323095823095823,0.8990011098779134,0.8755195949739119,7,4.479115479115479,0.6398736398736399,0.16431461084311877,0.05,-1.0,-1.0,1.0407254695892334
LIRE,3,0.8633292383292384,0.9130009775171065,0.9140903630869824,112,17.575552825552826,0.1569245787995788,0.46996360858652947,-1.0,0.0005,0.1,244.19624829292297
LIRE,3,0.8621007371007371,0.912115873947935,0.9139461458126941,111,10.373771498771498,0.09345740088983331,0.4833081173660073,-1.0,0.0005,0.5,253.75857138633728
LIRE,3,0.8608722358722358,0.9108092144122859,0.9117875305461991,102,8.3495085995086,0.08185792744616274,0.4814129366201239,-1.0,0.0005,1.0,191.21502923965454
LIRE,3,0.8535012285012284,0.9079328314997105,0.9054979546430222,77,2.9932432432432434,0.03887328887328888,0.484781761753677,-1.0,0.0005,5.0,185.3265278339386
LIRE,3,0.8464373464373465,0.9038461538461537,0.8964323897034541,72,2.1326781326781328,0.02962052962052962,0.48402690257952774,-1.0,0.0005,10.0,194.187579870224
LIRE,3,0.8596437346437347,0.9108640530524672,0.9142828247803977,78,16.912776412776413,0.21683046683046683,0.4546355375777682,-1.0,0.00075,0.1,117.70149421691895
LIRE,3,0.859029484029484,0.9104739613809245,0.9104446845485766,86,7.753685503685504,0.09015913376378493,0.48405042073713245,-1.0,0.00075,0.5,223.6233310699463
LIRE,3,0.8587223587223587,0.9099804305283757,0.9127746062017039,85,4.9914004914004915,0.058722358722358724,0.4883643210111981,-1.0,0.00075,1.0,627.5718686580658
LIRE,3,0.8568796068796068,0.91003861003861,0.903928334076349,61,2.340909090909091,0.038375558867362144,0.4852639558270081,-1.0,0.00075,5.0,229.45075869560242
LIRE,3,0.8442874692874693,0.9037402696031896,0.897355225463972,49,1.6461916461916462,0.03359574788146217,0.48855055567649597,-1.0,0.00075,10.0,125.57449555397034
LIRE,3,0.8584152334152334,0.9101889733099551,0.9121092460042269,57,11.08046683046683,0.1943941549204707,0.45918910074219993,-1.0,0.001,0.1,109.76362133026123
LIRE,3,0.855958230958231,0.9084878048780487,0.9114137007958524,64,6.082002457002457,0.0950312883906634,0.4826926899210627,-1.0,0.001,0.5,218.46654272079468
LIRE,3,0.8562653562653563,0.9088074824629775,0.9104769334918433,66,4.921990171990172,0.07457560866651776,0.4869320386230734,-1.0,0.001,1.0,430.36537981033325
LIRE,3,0.8498157248157249,0.9055802278432129,0.8979413822567862,43,2.010135135135135,0.04674732872407291,0.471751680516191,-1.0,0.001,5.0,115.74273562431335
LIRE,3,0.855036855036855,0.9097514340344168,0.8316207854501023,32,0.8915847665847666,0.027862023955773956,0.48654984084553116,-1.0,0.001,10.0,109.78876376152039
LIRE,3,0.8574938574938575,0.9092331768388107,0.907407866059045,26,5.884213759213759,0.22631591381591382,0.44582433065028254,-1.0,0.0025,0.1,41.37235450744629
LIRE,3,0.855958230958231,0.9087015767957952,0.9061772463839906,30,3.7745700245700244,0.12581900081900083,0.4694851506944353,-1.0,0.0025,0.5,77.6064989566803
LIRE,3,0.855036855036855,0.908456167571761,0.9034213806881976,25,3.379914004914005,0.1351965601965602,0.469686238087351,-1.0,0.0025,1.0,43.98623323440552
LIRE,3,0.8384520884520884,0.8984555984555983,0.8004094841820223,15,0.5092137592137592,0.033947583947583945,0.4824944233550076,-1.0,0.0025,5.0,56.79949426651001
LIRE,3,0.8221744471744472,0.8941305540318157,0.66903554504326,11,0.16861179361179363,0.01532834487379942,0.4826100552112068,-1.0,0.0025,10.0,60.96501421928406
LIRE,3,0.859029484029484,0.9107524790978029,0.9082927770622813,21,5.177211302211302,0.24653387153387152,0.43669936471583715,-1.0,0.005,0.1,27.825685024261475
LIRE,3,0.8541154791154791,0.9073893546500292,0.8988920811042864,17,2.0546683046683047,0.12086284145107674,0.4515833042968269,-1.0,0.005,0.5,34.616734743118286
LIRE,3,0.8528869778869779,0.9065365853658536,0.8938831752361138,12,1.191953316953317,0.09932944307944308,0.444248601717425,-1.0,0.005,1.0,67.35664820671082
LIRE,3,0.8427518427518428,0.9009671179883946,0.761522934416485,11,0.30866093366093367,0.028060084878266698,0.47277104153824934,-1.0,0.005,5.0,65.05217242240906
LIRE,3,0.7592137592137592,0.8631284916201116,0.5010732448319133,6,0.0009213759213759214,0.00015356265356265356,0.16666666666666666,-1.0,0.005,10.0,78.48765468597412
RF,4,0.7991400491400491,0.8827956989247313,0.8823793321940427,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6304943561553955
RuleFit,4,0.8525798525798526,0.9065056486170626,0.9047198521398852,105,28.331695331695332,0.26982566982566986,0.4393510604428881,0.0005,-1.0,-1.0,1.5662813186645508
RuleFit,4,0.8498157248157249,0.9050301029326083,0.9032178253582985,81,24.745085995085994,0.3054948888282221,0.42588016469056883,0.001,-1.0,-1.0,1.4035389423370361
RuleFit,4,0.8442874692874693,0.902368573079145,0.8942397195528696,30,12.77487714987715,0.42582923832923836,0.3700805261953609,0.005,-1.0,-1.0,1.0963160991668701
RuleFit,4,0.8402948402948403,0.9002302379125096,0.8891792153754705,22,10.459152334152334,0.47541601518874244,0.34828101967547637,0.01,-1.0,-1.0,1.113553762435913
RuleFit,4,0.8338452088452089,0.8967754245373021,0.8485169097978997,4,2.5568181818181817,0.6392045454545454,0.16902999942513122,0.05,-1.0,-1.0,1.0315775871276855
LIRE,4,0.8513513513513513,0.9055425448868072,0.9049381129879136,103,16.323402948402947,0.15847964027575676,0.46973109226759596,-1.0,0.0005,0.1,170.8524374961853
LIRE,4,0.8522727272727273,0.9059628543499512,0.9047771262631266,116,11.038083538083539,0.09515589256968568,0.4844932775325812,-1.0,0.0005,0.5,411.38059163093567
LIRE,4,0.8501228501228502,0.9049474094273472,0.9028617970246351,116,8.917383292383292,0.07687399389985597,0.4839600597544891,-1.0,0.0005,1.0,520.5214960575104
LIRE,4,0.847051597051597,0.9028482247366367,0.8911536246780266,74,2.383292383292383,0.03220665382827545,0.48924026402184,-1.0,0.0005,5.0,224.99162316322327
LIRE,4,0.8430589680589681,0.9015983054111303,0.8512482662968099,52,1.0592751842751842,0.02037067662067662,0.4879672512887919,-1.0,0.0005,10.0,162.92985010147095
LIRE,4,0.8492014742014742,0.9040453390658589,0.9039376217720098,84,14.289619164619165,0.17011451386451387,0.46287534112674295,-1.0,0.00075,0.1,172.763436794281
LIRE,4,0.8531941031941032,0.9065676309616887,0.9058385034839178,89,9.422604422604422,0.10587195980454407,0.4831811331649128,-1.0,0.00075,0.5,236.41089582443237
LIRE,4,0.8531941031941032,0.9064212999216915,0.9010950709167161,78,5.584152334152334,0.07159169659169659,0.48621739492152666,-1.0,0.00075,1.0,453.02723360061646
LIRE,4,0.8458230958230958,0.9021823850350741,0.8971970766461924,71,3.763820638820639,0.05301155829324844,0.48176374270372324,-1.0,0.00075,5.0,154.06298661231995
LIRE,4,0.8464373464373465,0.9041778459179763,0.8789751337428174,50,1.63482800982801,0.0326965601965602,0.4876434184144796,-1.0,0.00075,10.0,158.87709546089172
LIRE,4,0.8541154791154791,0.9073893546500292,0.9035299951291197,62,12.888513513513514,0.20787925021795992,0.4554488025701025,-1.0,0.001,0.1,87.6390392780304
LIRE,4,0.8501228501228502,0.9051690633501749,0.9014954737963146,67,6.265970515970516,0.09352194799955994,0.4845640261766843,-1.0,0.001,0.5,338.2257328033447
LIRE,4,0.8492014742014742,0.9039326941890041,0.9025070586487021,65,5.865479115479116,0.09023814023814024,0.4802041495020449,-1.0,0.001,1.0,286.4939785003662
LIRE,4,0.8452088452088452,0.9016393442622951,0.8922217096790173,54,3.1468058968058967,0.058274183274183274,0.4775591921912328,-1.0,0.001,5.0,166.4948697090149
LIRE,4,0.8406019656019657,0.899515972894482,0.828842474489796,34,0.7942260442260443,0.023359589536060127,0.48621434830073956,-1.0,0.001,10.0,132.81403255462646
LIRE,4,0.851044226044226,0.9058435255290235,0.901422720180305,32,5.296375921375922,0.16551174754299755,0.4627944354606132,-1.0,0.0025,0.1,63.51663017272949
LIRE,4,0.8498157248157249,0.9044735299863256,0.8970358319298593,31,3.6145577395577395,0.11659863675992709,0.4741890106754166,-1.0,0.0025,0.5,90.00061583518982
LIRE,4,0.8458230958230958,0.9034986543637061,0.892675000825573,34,2.859029484029484,0.08408910247145542,0.4788988164435614,-1.0,0.0025,1.0,119.2645092010498
LIRE,4,0.8396805896805897,0.899421965317919,0.8298076208638795,26,0.7014742014742015,0.02697977697977698,0.4834700884296397,-1.0,0.0025,5.0,172.90143871307373
LIRE,4,0.8372235872235873,0.8977228869162485,0.8133438903474011,18,0.5423832923832924,0.030132405132405133,0.48904336343752924,-1.0,0.0025,10.0,63.81330585479736
LIRE,4,0.8412162162162162,0.8997479154547218,0.8908215895581534,17,3.683353808353808,0.21666787107963578,0.44154609279371637,-1.0,0.005,0.1,38.004459381103516
LIRE,4,0.8353808353808354,0.8941129988146979,0.8836282692688726,15,1.7088452088452089,0.11392301392301392,0.4466765935477918,-1.0,0.005,0.5,27.55899429321289
LIRE,4,0.8476658476658476,0.9051625239005736,0.881920107241926,18,1.1796683046683047,0.06553712803712804,0.47994810854839676,-1.0,0.005,1.0,73.23440790176392
LIRE,4,0.8387592137592138,0.8986290789727746,0.8245167302357836,16,0.605036855036855,0.03781480343980344,0.47817268429827336,-1.0,0.005,5.0,61.12624526023865
LIRE,4,0.8123464373464373,0.8898503695691365,0.615055973845849,14,0.057432432432432436,0.004102316602316603,0.3021978021978022,-1.0,0.005,10.0,120.55314350128174
RF,5,0.7871621621621622,0.8768875466335051,0.8923519954098144,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6308927536010742
RuleFit,5,0.8633292383292384,0.9132384480405538,0.9118675079255004,111,37.64895577395578,0.33917978174734936,0.4184175170560434,0.0005,-1.0,-1.0,1.6161348819732666
RuleFit,5,0.8608722358722358,0.9119191133579624,0.9097094086420976,75,31.43058968058968,0.4190745290745291,0.3827788088968669,0.001,-1.0,-1.0,1.644136905670166
RuleFit,5,0.8562653562653563,0.9095826893353941,0.9040766792153754,36,20.301597051597053,0.5639332514332515,0.30357460814261106,0.005,-1.0,-1.0,1.2362797260284424
RuleFit,5,0.847972972972973,0.9047893825735718,0.8972153940459678,25,14.957616707616708,0.5983046683046683,0.27319162551588816,0.01,-1.0,-1.0,1.1501002311706543
RuleFit,5,0.8123464373464373,0.8894917706637728,0.8664204911333465,7,4.328624078624078,0.6183748683748683,0.17265433109328376,0.05,-1.0,-1.0,1.0581355094909668
LIRE,5,0.8636363636363636,0.9129070223617106,0.9140397967439402,105,17.720823095823096,0.16876974376974377,0.47097916924291466,-1.0,0.0005,0.1,246.59830737113953
LIRE,5,0.8627149877149877,0.9124730761699629,0.911985410062083,108,10.058968058968059,0.09313859313859314,0.4857912923138323,-1.0,0.0005,0.5,402.7650327682495
LIRE,5,0.8621007371007371,0.9124585689218172,0.9125898842546728,114,7.481572481572481,0.06562782878572353,0.48662620856745925,-1.0,0.0005,1.0,510.08034801483154
LIRE,5,0.8593366093366094,0.910929599377674,0.9026063853939634,73,2.3307739557739557,0.031928410353067885,0.4884956250362059,-1.0,0.0005,5.0,261.30186581611633
LIRE,5,0.8584152334152334,0.9106762255376866,0.9020326121953636,72,2.6348280098280097,0.03659483346983347,0.4875137674459071,-1.0,0.0005,10.0,152.98716259002686
LIRE,5,0.8611793611793612,0.9113377795213808,0.9140436666171323,76,13.617321867321868,0.17917528772791932,0.46359060392456614,-1.0,0.00075,0.1,168.65827679634094
LIRE,5,0.8614864864864865,0.9112029927151014,0.9125625371507827,81,8.437653562653562,0.10416856250189582,0.48405243228960837,-1.0,0.00075,0.5,317.6060698032379
LIRE,5,0.859029484029484,0.9100529100529101,0.9106242466646852,86,8.293611793611793,0.09643734643734643,0.47599522798052774,-1.0,0.00075,1.0,200.0390031337738
LIRE,5,0.85995085995086,0.911353032659409,0.9032023458655306,67,2.4533169533169534,0.036616670945029156,0.4875798247147563,-1.0,0.00075,5.0,245.84093141555786
