method,fold,accuracy,f1,auc,time,gsup,lsup,rsup,div
KernelSVM,9,0.698051948051948,0.6395348837209303,0.7409783821107983,4.187110424041748,-1,-1.0,-1.0,-1.0
RuleFit,9,0.676948051948052,0.6388384754990926,0.7390556116216074,1.2850992679595947,35,12.407467532467532,0.3544990723562152,0.3649543803489877
GLRM,9,0.6737012987012987,0.6391382405745063,0.7424018696552823,1.3892908096313477,20,11.686688311688313,0.5843344155844156,0.2787623971722276
LIRE,9,0.672077922077922,0.6130268199233716,0.7242099112976045,14.199054956436155,23,2.7857142857142856,0.1211180124223602,0.4742779285250738
RF,10,0.6737012987012987,0.6051080550098232,0.7298029425824613,0.4565544128417969,-1,-1.0,-1.0,-1.0
LightGBM,10,0.650974025974026,0.5873320537428023,0.6964465926594784,0.0830311775207519,-1,-1.0,-1.0,-1.0
KernelSVM,10,0.6623376623376623,0.5823293172690763,0.7265841610453072,4.141615629196167,-1,-1.0,-1.0,-1.0
RuleFit,10,0.6672077922077922,0.6153846153846154,0.7306315398098474,1.27367901802063,44,14.795454545454543,0.3362603305785124,0.3799186365126233
GLRM,10,0.6688311688311688,0.6208178438661709,0.7289796568757636,2.362719774246216,19,10.6737012987013,0.5617737525632263,0.2874177476703233
LIRE,10,0.6607142857142857,0.5973025048169557,0.7186593721782547,5.297558307647705,9,1.4237012987012987,0.1581890331890331,0.4727299385967711
